site,category,site_product_type,site_tags,product_title,variant_title,form_factor,form_factor_description,price_usd,weight_grams,price_per_gram,year,in_stock,product_url
King Tea Mall,Raw Puer,,Puerh Raw Tea Sheng Cha,"2021 XiaGuan ""Zi Jin Qi Xing Gu Shu"" (Gold - 7 Star - Old Tree) Cake 357g Puerh Raw Tea Sheng Cha",Sample 8g,Sample,Small sample-size portion of a tea,9.99,8.0,1.2488,2021,True,https://kingteamall.com/products/2021-xiaguan-zi-jin-qi-xing-gu-shu-gold-7-stars-old-tree-cake-357g-puerh-raw-tea-sheng-cha
King Tea Mall,Raw Puer,,Puerh Raw Tea Sheng Cha,"2021 Xiaguan ""Li Ding Qian Shan"" (Old Six Big Tea Mountains) Cake 357g Puerh Raw Tea Sheng Cha",Sample 8g,Sample,Small sample-size portion of a tea,9.99,8.0,1.2488,2021,True,https://kingteamall.com/products/2021-xiaguan-li-ding-qian-shan-old-six-big-tea-mountains-cake-357g-puerh-raw-tea-sheng-cha
King Tea Mall,Raw Puer,,Puerh Raw Tea Sheng Cha,"2016 XiaGuan ""Wu Xing Zhen Cang - Gao Shan Gu Shu""  (Valuable 5 Star - High Mountain Old Tree) Cake 357g Puerh Raw Tea Sheng Cha",Sample 8g,Sample,Small sample-size portion of a tea,9.99,8.0,1.2488,2016,True,https://kingteamall.com/products/2016-xiaguan-wu-xing-zhen-cang-valuable-5-stars-cake-357g-puerh-raw-tea-sheng-cha
King Tea Mall,Raw Puer,,Puerh Raw Tea Sheng Cha,"2017 XiaGuan ""Liu Xing Zhen Cang"" (Collectible 6 Star) Cake 357g Puerh Raw Tea Sheng Cha",Sample 8g,Sample,Small sample-size portion of a tea,9.99,8.0,1.2488,2017,True,https://kingteamall.com/products/2017-xiaguan-liu-xing-zhen-cang-valuable-6-stars-cake-357g-puerh-raw-tea-sheng-cha
King Tea Mall,Raw Puer,,Puerh Raw Tea Sheng Cha,"2017 XiaGuan ""Pei Zi"" (Purple Te- Zijuan ) 360g Cake Puerh Sheng Cha Raw Tea",Sample 8g,Sample,Small sample-size portion of a tea,9.99,8.0,1.2488,2017,True,https://kingteamall.com/products/2017-xiaguan-pei-zi-purple-te-zijuan-360g-cake-puerh-sheng-cha-raw-tea
King Tea Mall,Raw Puer,,Puerh Raw Tea Sheng Cha,"2018 XiaGuan ""No.9 Qing Bing"" (No.9 Green Cake) 357g Puerh Raw Tea Sheng Cha",Sample 8g,Sample,Small sample-size portion of a tea,9.99,8.0,1.2488,2018,True,https://kingteamall.com/products/2018-xiaguan-no-9-qing-bing-9th-green-cake-357g-puerh-raw-tea-sheng-cha
King Tea Mall,Raw Puer,,Puerh Raw Tea Sheng Cha,"2022 MengKu RongShi ""Yi Wu"" (Yiwu) Dragon Ball 8g / Cake 357g Puerh Raw Tea Sheng Cha",A Box of Dragon Ball (8g*5pcs),Whole Cake,"A whole pressed tea cake, brick, or tuo",49.99,40.0,1.2498,2022,True,https://kingteamall.com/products/2005-xiaguan-xiao-fa-sell-to-france-tuo-250g-puerh-sheng-cha-raw-tea
Crimson Lotus Tea,Raw Puer,Seattle,"2010 and Before, Sheng / Raw Puerh","2003 Changtai ""Ji Nian / Memorial"" Sheng / Raw Tuo Cha (100g) :: Seattle Inventory",1x 100g Tuo,Whole Cake,"A whole pressed tea cake, brick, or tuo",124.99,100.0,1.2499,2003,False,https://crimsonlotustea.com/products/2003-changtai-ji-nian-memorial-sheng-raw-tuo-cha-100g-seattle-inventory
Yunnan Sourcing,Raw Puer,Raw Pu-erh Tea,"$0.20-$0.249/g, 250 Grams, Aged Raw Pu-erh Tea, Blended Pu-erh, Cake, Guangdong Storage, NONYS2024, Price per gram_$0.90-$0.99/g, Producer_Changtai Brand, Pu-erh Harvest Season_Spring Harvest, Region_Yunnan, revoq-no-withdrawal, Sample Available, Shape_Cake, Spring Harvest, Stone Pressed, Storage Type_Guangdong Storage, Sub-Region_Bu Lang Mountains (Menghai), Sub-Region_Menghai (Yunnan), Sub-Region_Xishuangbanna (Yunnan), Sub-Region_Yi Wu Mountains (Yunnan), Tea Type_Raw Pu-erh Tea, Yunnan","2005 Changtai ""Yi Chang Hao Zheng Pin"" Raw Pu-erh Tea Mini Cake",10 Gram Sample,Sample,Small sample-size portion of a tea,12.5,10.0,1.25,2005,True,https://yunnansourcing.com/products/2005-changtai-yi-chang-hao-zheng-pin-raw-pu-erh-tea-mini-cake
Farmerleaf,Other,Pu-erh tea,"map-mang-nuo, sold out",Spring 2026 Mang Nuo Single Trees,20g sample,Sample,Small sample-size portion of a tea,25.0,20.0,1.25,2026,False,https://farmerleaf.com/products/spring-2026-mang-nuo-single-trees
